--------- beginning of main
09-05 11:03:12.832 I/OPENHU  (18275): [2] AutomationReceiver.onReceive | AutomationReceiver: com.andrerinas.openheadunit.ACTION_LOG_MARKER
09-05 11:03:12.918 W/OPENHU  (18275): [2] AutomationEffectRunner.run | AutomationMarker: R1-start
09-05 11:03:13.999 I/OPENHU  (18275): [2] AutomationReceiver.onReceive | AutomationReceiver: com.andrerinas.openheadunit.ACTION_START_WIRELESS
09-05 11:03:14.037 I/OPENHU  (18275): [2] AapService.onCreate | AapService creating...
09-05 11:03:14.073 I/OPENHU  (18275): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper: == Bluetooth address source dump ==
09-05 11:03:14.077 I/OPENHU  (18275): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   adapter.address                      = 02:00:00:00:00:00
09-05 11:03:14.078 I/OPENHU  (18275): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   getAddress() reflection              = 02:00:00:00:00:00
09-05 11:03:14.079 I/OPENHU  (18275): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   Settings.Secure bluetooth_address    = null
09-05 11:03:14.079 I/OPENHU  (18275): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.bt.mac          = null
09-05 11:03:14.080 I/OPENHU  (18275): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.btmac           = null
09-05 11:03:14.081 I/OPENHU  (18275): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.vendor.bt.mac       = null
09-05 11:03:14.081 I/OPENHU  (18275): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property sys.bt.mac                  = null
09-05 11:03:14.082 I/OPENHU  (18275): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.bluetooth.mac   = null
09-05 11:03:14.083 I/OPENHU  (18275): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property ro.boot.btmacaddr           = null
09-05 11:03:14.083 I/OPENHU  (18275): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property vendor.bt.bdaddr            = null
09-05 11:03:14.084 I/OPENHU  (18275): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.zj.BTmac            = null
09-05 11:03:14.084 I/OPENHU  (18275): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.zlink.carplay.mac   = null
09-05 11:03:14.085 I/OPENHU  (18275): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property sys.bt.bdaddr               = null
09-05 11:03:14.086 I/OPENHU  (18275): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper: == end Bluetooth address source dump ==
09-05 11:03:14.086 W/OPENHU  (18275): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper: no source named this unit's Bluetooth address. Read it under Settings/About/Status, or off the paired phone under the gear beside this device, and enter it under Wireless connection. Without it the phone is not told where to connect hands-free and no setup QR can be drawn.
09-05 11:03:14.160 I/OPENHU  (18275): [2] AapService.registerReceivers | Registered runtime MEDIA_BUTTON receiver
09-05 11:03:14.164 I/OPENHU  (18275): [2] AapService.registerReceivers | Registered dynamic WiFi Auto-start receiver
09-05 11:03:14.167 I/OPENHU  (18275): [2] AapService.registerReceivers | Registered wake detection receiver (18 actions)
09-05 11:03:14.170 I/OPENHU  (18275): [2] AapService.registerReceivers | Registered Bluetooth auto-disconnect receiver
09-05 11:03:14.255 I/OPENHU  (18275): [2] WifiLauncherManager.setActive | WifiLauncher: Initializing WiFi Mode: NATIVE
09-05 11:03:14.286 I/OPENHU  (18275): [2] WifiDirectManager.<init> | WifiDirectManager: Device supports WiFi Direct. Initializing...
09-05 11:03:14.333 I/OPENHU  (18275): [2] WirelessServer.start | WirelessServer: binding port 5288...
09-05 11:03:14.370 I/OPENHU  (18275): [50] 1.invokeSuspend | Wireless Server listening on port 5288
09-05 11:03:14.375 I/OPENHU  (18275): [2] WifiDirectManager.claimNativeCreateWindow | WifiDirectManager: a Native AA group create is claimed (bringing the Native AA group up); a refresh in the next 15s waits for it.
09-05 11:03:14.388 I/OPENHU  (18275): [2] WifiDirectManager.startNativeAaQuietHost | WifiDirectManager: startNativeAaQuietHost() requested. Removing old group if any...
09-05 11:03:14.389 I/OPENHU  (18275): [50] WirelessServer.logLocalNetworkInterfaces | Interface: seth_lte0, IP: 10.14.245.165
09-05 11:03:14.389 I/OPENHU  (18275): [2] WifiDirectManager.claimNativeCreateWindow | WifiDirectManager: a Native AA group create is claimed (recreating the group); a refresh in the next 15s waits for it.
09-05 11:03:14.390 I/OPENHU  (18275): [2] WifiDirectManager.invalidateNativeGroupCredentials | WifiDirectManager: the group is being removed (recreating the group), so its credentials are no longer handed out.
