--------- beginning of main
09-05 11:07:28.706 I/OPENHU  (20623): [2] MainActivity.logLaunchSource | App launched by third party: android-app://com.android.shell (action: null)
09-05 11:07:28.966 I/OPENHU  (20623): [2] UsbDeviceDiagnostics.logDeviceList | UsbDiagnostics: USB list sees 0 USB device(s), 0 usable for Android Auto
09-05 11:07:28.966 I/OPENHU  (20623): [2] UsbDeviceDiagnostics.logDeviceList | UsbDiagnostics: nothing is on the bus. Either the port carries no data, the unit is not in USB host mode, or a wireless adapter is waiting for its phone before it presents itself.
09-05 11:07:29.191 I/OPENHU  (20623): [2] HomeFragment.onResume | HomeFragment: onResume. isConnected=false
09-05 11:07:29.974 I/OPENHU  (20623): [2] AapService.onCreate | AapService creating...
09-05 11:07:30.006 I/OPENHU  (20623): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   adapter.address                      = 02:00:00:00:00:00
09-05 11:07:30.007 I/OPENHU  (20623): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   getAddress() reflection              = 02:00:00:00:00:00
09-05 11:07:30.007 I/OPENHU  (20623): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   Settings.Secure bluetooth_address    = null
09-05 11:07:30.008 I/OPENHU  (20623): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.bt.mac          = null
09-05 11:07:30.008 I/OPENHU  (20623): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.btmac           = null
09-05 11:07:30.009 I/OPENHU  (20623): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.vendor.bt.mac       = null
09-05 11:07:30.010 I/OPENHU  (20623): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property sys.bt.mac                  = null
09-05 11:07:30.010 I/OPENHU  (20623): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.bluetooth.mac   = null
09-05 11:07:30.011 I/OPENHU  (20623): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property ro.boot.btmacaddr           = null
09-05 11:07:30.011 I/OPENHU  (20623): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property vendor.bt.bdaddr            = null
09-05 11:07:30.012 I/OPENHU  (20623): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.zj.BTmac            = null
09-05 11:07:30.013 I/OPENHU  (20623): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.zlink.carplay.mac   = null
09-05 11:07:30.014 I/OPENHU  (20623): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property sys.bt.bdaddr               = null
09-05 11:07:30.014 I/OPENHU  (20623): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper: == end Bluetooth address source dump ==
09-05 11:07:30.015 W/OPENHU  (20623): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper: no source named this unit's Bluetooth address. Read it under Settings/About/Status, or off the paired phone under the gear beside this device, and enter it under Wireless connection. Without it the phone is not told where to connect hands-free and no setup QR can be drawn.
09-05 11:07:30.043 I/OPENHU  (20623): [2] AapService.registerReceivers | Registered runtime MEDIA_BUTTON receiver
09-05 11:07:30.046 I/OPENHU  (20623): [2] AapService.registerReceivers | Registered dynamic WiFi Auto-start receiver
09-05 11:07:30.049 I/OPENHU  (20623): [2] AapService.registerReceivers | Registered wake detection receiver (18 actions)
09-05 11:07:30.051 I/OPENHU  (20623): [2] AapService.registerReceivers | Registered Bluetooth auto-disconnect receiver
09-05 11:07:30.087 I/OPENHU  (20623): [2] WifiLauncherManager.setActive | WifiLauncher: Initializing WiFi Mode: NATIVE
09-05 11:07:30.099 I/OPENHU  (20623): [2] WifiDirectManager.<init> | WifiDirectManager: Device supports WiFi Direct. Initializing...
09-05 11:07:30.113 I/OPENHU  (20623): [2] WirelessServer.start | WirelessServer: binding port 5288...
