09-05 14:19:37.182 I/ActivityManager( 1084): Broadcasting: Intent { act=com.andrerinas.openheadunit.ACTION_LOG_MARKER flg=0x400020 cmp=com.andrerinas.headunitrevived/com.andrerinas.openheadunit.automation.AutomationReceiver (has extras) }
09-05 14:19:37.184 I/ActivityManager( 1084): Enqueued broadcast Intent { act=com.andrerinas.openheadunit.ACTION_LOG_MARKER flg=0x400020 cmp=com.andrerinas.headunitrevived/com.andrerinas.openheadunit.automation.AutomationReceiver (has extras) }: 0
09-05 14:19:37.197 I/ActivityManager( 1084): Start proc 30292:com.andrerinas.headunitrevived/u0a174 for broadcast {com.andrerinas.headunitrevived/com.andrerinas.openheadunit.automation.AutomationReceiver}
09-05 14:19:38.690 I/OPENHU  (30292): [2] AutomationReceiver.onReceive | AutomationReceiver: com.andrerinas.openheadunit.ACTION_LOG_MARKER
09-05 14:19:38.774 W/OPENHU  (30292): [2] AutomationEffectRunner.run | AutomationMarker: R13-bringup-start
09-05 14:19:38.776 W/CheckTime(30292): App running slow: Executing com.andrerinas.openheadunit.automation.AutomationReceiver scheduleReceive took 1512ms
09-05 14:19:38.776 D/BroadcastQueue( 1084): Receiver ResolveInfo{6351e97 com.andrerinas.headunitrevived/com.andrerinas.openheadunit.automation.AutomationReceiver m=0x0 userHandle=null} finished with BroadcastRecord{514c3b6 com.andrerinas.openheadunit.ACTION_LOG_MARKER/u0} took 1520ms
09-05 14:19:38.846 I/ActivityManager( 1084): Broadcasting: Intent { act=com.andrerinas.openheadunit.ACTION_START_WIRELESS flg=0x400020 cmp=com.andrerinas.headunitrevived/com.andrerinas.openheadunit.automation.AutomationReceiver }
09-05 14:19:38.847 I/ActivityManager( 1084): Enqueued broadcast Intent { act=com.andrerinas.openheadunit.ACTION_START_WIRELESS flg=0x400020 cmp=com.andrerinas.headunitrevived/com.andrerinas.openheadunit.automation.AutomationReceiver }: 0
09-05 14:19:38.855 I/OPENHU  (30292): [2] AutomationReceiver.onReceive | AutomationReceiver: com.andrerinas.openheadunit.ACTION_START_WIRELESS
09-05 14:19:38.865 D/BroadcastQueue( 1084): Receiver ResolveInfo{7f32e69 com.andrerinas.headunitrevived/com.andrerinas.openheadunit.automation.AutomationReceiver m=0x0 userHandle=null} finished with BroadcastRecord{3a30d33 com.andrerinas.openheadunit.ACTION_START_WIRELESS/u0} took 16ms
09-05 14:19:38.892 I/OPENHU  (30292): [2] AapService.onCreate | AapService creating...
09-05 14:19:38.927 I/OPENHU  (30292): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper: == Bluetooth address source dump ==
09-05 14:19:38.932 I/OPENHU  (30292): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   adapter.address                      = 02:00:00:00:00:00
09-05 14:19:38.933 I/OPENHU  (30292): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   getAddress() reflection              = 02:00:00:00:00:00
09-05 14:19:38.933 I/OPENHU  (30292): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   Settings.Secure bluetooth_address    = null
09-05 14:19:38.934 I/OPENHU  (30292): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.bt.mac          = null
09-05 14:19:38.935 I/OPENHU  (30292): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.btmac           = null
09-05 14:19:38.935 I/OPENHU  (30292): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.vendor.bt.mac       = null
09-05 14:19:38.936 I/OPENHU  (30292): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property sys.bt.mac                  = null
09-05 14:19:38.936 I/OPENHU  (30292): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.bluetooth.mac   = null
09-05 14:19:38.937 I/OPENHU  (30292): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property ro.boot.btmacaddr           = null
09-05 14:19:38.938 I/OPENHU  (30292): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property vendor.bt.bdaddr            = null
09-05 14:19:38.938 I/OPENHU  (30292): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.zj.BTmac            = null
09-05 14:19:38.939 I/OPENHU  (30292): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.zlink.carplay.mac   = null
09-05 14:19:38.939 I/OPENHU  (30292): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property sys.bt.bdaddr               = null
09-05 14:19:38.940 I/OPENHU  (30292): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper: == end Bluetooth address source dump ==
09-05 14:19:38.940 W/OPENHU  (30292): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper: no source named this unit's Bluetooth address. Read it under Settings/About/Status, or off the paired phone under the gear beside this device, and enter it under Wireless connection. Without it the phone is not told where to connect hands-free and no setup QR can be drawn.
09-05 14:19:38.988 I/OPENHU  (30292): [2] AapService.registerReceivers | Registered runtime MEDIA_BUTTON receiver
09-05 14:19:38.992 I/OPENHU  (30292): [2] AapService.registerReceivers | Registered dynamic WiFi Auto-start receiver
09-05 14:19:38.996 I/OPENHU  (30292): [2] AapService.registerReceivers | Registered wake detection receiver (18 actions)
09-05 14:19:38.999 I/OPENHU  (30292): [2] AapService.registerReceivers | Registered Bluetooth auto-disconnect receiver
09-05 14:19:39.066 I/OPENHU  (30292): [2] WifiLauncherManager.setActive | WifiLauncher: Initializing WiFi Mode: NATIVE
09-05 14:19:39.083 I/OPENHU  (30292): [2] WifiDirectManager.<init> | WifiDirectManager: Device supports WiFi Direct. Initializing...
09-05 14:19:39.118 I/OPENHU  (30292): [2] WirelessServer.start | WirelessServer: binding port 5288...
09-05 14:19:39.137 I/OPENHU  (30292): [50] 1.invokeSuspend | Wireless Server listening on port 5288
09-05 14:19:39.145 I/OPENHU  (30292): [2] WifiDirectManager.claimNativeCreateWindow | WifiDirectManager: a Native AA group create is claimed (bringing the Native AA group up); a refresh in the next 15s waits for it.
09-05 14:19:39.149 I/OPENHU  (30292): [50] WirelessServer.logLocalNetworkInterfaces | Interface: seth_lte0, IP: 10.14.245.165
09-05 14:19:39.150 I/OPENHU  (30292): [2] WifiDirectManager.startNativeAaQuietHost | WifiDirectManager: startNativeAaQuietHost() requested. Removing old group if any...
09-05 14:19:39.150 I/OPENHU  (30292): [50] WirelessServer.logLocalNetworkInterfaces | Interface: wlan0, IP: 192.168.1.8
09-05 14:19:39.150 I/OPENHU  (30292): [2] WifiDirectManager.claimNativeCreateWindow | WifiDirectManager: a Native AA group create is claimed (recreating the group); a refresh in the next 15s waits for it.
