09-05 15:38:10.176 I/OPENHU  (11509): [2] AutomationReceiver.onReceive | AutomationReceiver: com.andrerinas.openheadunit.ACTION_LOG_MARKER
09-05 15:38:10.259 W/OPENHU  (11509): [2] AutomationEffectRunner.run | AutomationMarker: R1-start
09-05 15:38:11.336 I/OPENHU  (11509): [2] AutomationReceiver.onReceive | AutomationReceiver: com.andrerinas.openheadunit.ACTION_START_WIRELESS
09-05 15:38:11.373 I/OPENHU  (11509): [2] AapService.onCreate | AapService creating...
09-05 15:38:11.405 I/OPENHU  (11509): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper: == Bluetooth address source dump ==
09-05 15:38:11.410 I/OPENHU  (11509): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   adapter.address                      = 02:00:00:00:00:00
09-05 15:38:11.411 I/OPENHU  (11509): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   getAddress() reflection              = 02:00:00:00:00:00
09-05 15:38:11.412 I/OPENHU  (11509): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   Settings.Secure bluetooth_address    = null
09-05 15:38:11.412 I/OPENHU  (11509): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.bt.mac          = null
09-05 15:38:11.413 I/OPENHU  (11509): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.btmac           = null
09-05 15:38:11.414 I/OPENHU  (11509): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.vendor.bt.mac       = null
09-05 15:38:11.414 I/OPENHU  (11509): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property sys.bt.mac                  = null
09-05 15:38:11.415 I/OPENHU  (11509): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.bluetooth.mac   = null
09-05 15:38:11.415 I/OPENHU  (11509): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property ro.boot.btmacaddr           = null
09-05 15:38:11.416 I/OPENHU  (11509): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property vendor.bt.bdaddr            = null
09-05 15:38:11.417 I/OPENHU  (11509): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.zj.BTmac            = null
09-05 15:38:11.417 I/OPENHU  (11509): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.zlink.carplay.mac   = null
09-05 15:38:11.418 I/OPENHU  (11509): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property sys.bt.bdaddr               = null
09-05 15:38:11.418 I/OPENHU  (11509): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper: == end Bluetooth address source dump ==
09-05 15:38:11.419 W/OPENHU  (11509): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper: no source named this unit's Bluetooth address. Read it under Settings/About/Status, or off the paired phone under the gear beside this device, and enter it under Wireless connection. Without it the phone is not told where to connect hands-free and no setup QR can be drawn.
09-05 15:38:11.454 I/OPENHU  (11509): [2] AapService.registerReceivers | Registered runtime MEDIA_BUTTON receiver
09-05 15:38:11.457 I/OPENHU  (11509): [2] AapService.registerReceivers | Registered dynamic WiFi Auto-start receiver
09-05 15:38:11.460 I/OPENHU  (11509): [2] AapService.registerReceivers | Registered wake detection receiver (18 actions)
09-05 15:38:11.462 I/OPENHU  (11509): [2] AapService.registerReceivers | Registered Bluetooth auto-disconnect receiver
09-05 15:38:11.505 I/OPENHU  (11509): [2] WifiLauncherManager.setActive | WifiLauncher: Initializing WiFi Mode: NATIVE
09-05 15:38:11.518 I/OPENHU  (11509): [2] WifiDirectManager.<init> | WifiDirectManager: Device supports WiFi Direct. Initializing...
09-05 15:38:11.535 I/OPENHU  (11509): [2] WirelessServer.start | WirelessServer: binding port 5288...
09-05 15:38:11.547 I/OPENHU  (11509): [50] 1.invokeSuspend | Wireless Server listening on port 5288
09-05 15:38:11.554 I/OPENHU  (11509): [50] WirelessServer.logLocalNetworkInterfaces | Interface: seth_lte0, IP: 10.14.245.165
09-05 15:38:11.554 I/OPENHU  (11509): [2] WifiDirectManager.claimNativeCreateWindow | WifiDirectManager: a Native AA group create is claimed (bringing the Native AA group up); a refresh in the next 15s waits for it.
09-05 15:38:11.555 I/OPENHU  (11509): [50] WirelessServer.logLocalNetworkInterfaces | Interface: wlan0, IP: 192.168.1.8
09-05 15:38:11.557 I/OPENHU  (11509): [50] WirelessServer.logLocalNetworkInterfaces | Interface: p2p-wlan0-7, IP: 192.168.49.1
09-05 15:38:11.559 I/OPENHU  (11509): [2] WifiDirectManager.startNativeAaQuietHost | WifiDirectManager: startNativeAaQuietHost() requested. Removing old group if any...
09-05 15:38:11.560 I/OPENHU  (11509): [2] WifiDirectManager.claimNativeCreateWindow | WifiDirectManager: a Native AA group create is claimed (recreating the group); a refresh in the next 15s waits for it.
09-05 15:38:11.561 I/OPENHU  (11509): [2] WifiDirectManager.invalidateNativeGroupCredentials | WifiDirectManager: the group is being removed (recreating the group), so its credentials are no longer handed out.
