09-05 23:43:08.988 I/OPENHU  ( 5666): [2] UsbAttachedActivity.onCreate | Switching USB device to accessory mode Google Pixel 4 (VID: 18D1 PID: 4EE1)
09-05 23:43:09.000 I/OPENHU  ( 5666): [204] UsbAccessoryMode.connectAndSwitch | UsbAccessoryMode: Performing AOA switch via native libusb...
09-05 23:43:09.022 I/OPENHU  ( 5666): [204] UsbAccessoryMode.connectAndSwitch | Result: true
09-05 23:43:10.591 I/OPENHU  ( 5666): [211] 2.invokeSuspend | LibusbAccessoryConnection: Successfully connected via JNI Libusb
09-05 23:43:11.468 I/OPENHU  ( 5666): [206] AapTransport.handshake | Handshake: Version response received (ret=12, attempt=1).
09-05 23:43:11.522 I/OPENHU  ( 5666): [206] AapSslContext.performHandshake | SSL handshake complete. Session id: 7v2XtfXTTmVE/j9qljWcIxGbgfVI4bHgp3QDtk1EPG8=
09-05 23:43:11.522 D/OPENHU  ( 5666): [206] AapTransport.handshake | Handshake: SSL handshake complete. TS: 432644521
09-05 23:43:14.849 I/OPENHU  ( 5666): [230] VideoDecoder.outputThreadLoop | First frame rendered (hardware decode)
09-05 23:43:19.823 I/OPENHU  ( 5666): [230] VideoDecoder.logThroughput | Throughput over 5005ms: rendered=139 (27fps), fed=140 (27fps), dropped=0, skipped=0, concealed=0, inputWait=96ms, enqueueWait=0ms, codec=c2.qti.hevc.decoder, presented=139 (27fps), decodeLatency=17ms p95=45ms (139 frames)
09-05 23:43:24.822 I/OPENHU  ( 5666): [230] VideoDecoder.logThroughput | Throughput over 5000ms: rendered=226 (45fps), fed=226 (45fps), dropped=0, skipped=0, concealed=0, inputWait=122ms, enqueueWait=0ms, codec=c2.qti.hevc.decoder, presented=226 (45fps), decodeLatency=17ms p95=22ms (226 frames)
09-05 23:43:29.829 I/OPENHU  ( 5666): [230] VideoDecoder.logThroughput | Throughput over 5007ms: rendered=231 (46fps), fed=232 (46fps), dropped=0, skipped=0, concealed=0, inputWait=121ms, enqueueWait=0ms, codec=c2.qti.hevc.decoder, presented=231 (46fps), decodeLatency=18ms p95=22ms (231 frames)
09-05 23:43:34.837 I/OPENHU  ( 5666): [230] VideoDecoder.logThroughput | Throughput over 5007ms: rendered=230 (45fps), fed=229 (45fps), dropped=0, skipped=0, concealed=0, inputWait=111ms, enqueueWait=0ms, codec=c2.qti.hevc.decoder, presented=230 (45fps), decodeLatency=18ms p95=21ms (230 frames)
09-05 23:43:39.846 I/OPENHU  ( 5666): [230] VideoDecoder.logThroughput | Throughput over 5010ms: rendered=231 (46fps), fed=232 (46fps), dropped=0, skipped=0, concealed=0, inputWait=113ms, enqueueWait=0ms, codec=c2.qti.hevc.decoder, presented=231 (46fps), decodeLatency=19ms p95=22ms (231 frames)
09-05 23:43:44.849 I/OPENHU  ( 5666): [230] VideoDecoder.logThroughput | Throughput over 5003ms: rendered=226 (45fps), fed=225 (44fps), dropped=0, skipped=0, concealed=0, inputWait=113ms, enqueueWait=0ms, codec=c2.qti.hevc.decoder, presented=226 (45fps), decodeLatency=18ms p95=22ms (226 frames)
09-05 23:43:49.850 I/OPENHU  ( 5666): [230] VideoDecoder.logThroughput | Throughput over 5000ms: rendered=226 (45fps), fed=227 (45fps), dropped=0, skipped=0, concealed=0, inputWait=119ms, enqueueWait=0ms, codec=c2.qti.hevc.decoder, presented=226 (45fps), decodeLatency=18ms p95=22ms (226 frames)
09-05 23:43:54.851 I/OPENHU  ( 5666): [230] VideoDecoder.logThroughput | Throughput over 5002ms: rendered=229 (45fps), fed=228 (45fps), dropped=0, skipped=0, concealed=0, inputWait=89ms, enqueueWait=0ms, codec=c2.qti.hevc.decoder, presented=229 (45fps), decodeLatency=18ms p95=21ms (229 frames)
09-05 23:43:59.851 I/OPENHU  ( 5666): [230] VideoDecoder.logThroughput | Throughput over 5000ms: rendered=197 (39fps), fed=197 (39fps), dropped=0, skipped=0, concealed=0, inputWait=103ms, enqueueWait=0ms, codec=c2.qti.hevc.decoder, presented=197 (39fps), decodeLatency=19ms p95=23ms (197 frames)
09-05 23:44:04.856 I/OPENHU  ( 5666): [230] VideoDecoder.logThroughput | Throughput over 5004ms: rendered=106 (21fps), fed=106 (21fps), dropped=0, skipped=0, concealed=0, inputWait=41ms, enqueueWait=0ms, codec=c2.qti.hevc.decoder, presented=106 (21fps), decodeLatency=19ms p95=21ms (106 frames)
