### r6c decisive lines ###
907:09-05 22:29:57.467 I/OPENHU  ( 8975): [2] AapService.onCreate | AapService creating...
4268:09-05 22:20:30.196 I/OPENHU  ( 8975): [2] 1.onSuccess | WifiDirectManager: 5GHz createGroup SUCCESS!
6699:09-05 22:30:01.588 W/OPENHU  ( 8975): [2] AutomationEffectRunner.run | AutomationMarker: r6-armed
7331:09-05 22:30:02.082 I/OPENHU  ( 8975): [61] 1.invokeSuspend | NativeAA: Attempting active poke to device: POCO X3 NFC (DC:B7:2E:5E:4E:59)...
7348:09-05 22:30:02.097 I/OPENHU  ( 8975): [61] NativeAaHandshakeManager.pokeDevice | NativeAA: Calling socket.connect() for POCO X3 NFC via HFP-AG (0000111f-0000-1000-8000-00805f9b34fb)...
7530:09-05 22:30:02.298 I/OPENHU  ( 8975): [2] AutomationReceiver.onReceive | AutomationReceiver: com.andrerinas.openheadunit.ACTION_NATIVE_AA_POKE
7566:09-05 22:30:02.325 I/OPENHU  ( 8975): [60] NativeAaHandshakeManager.awaitPokeSlot | NativeAA: another poke is already connecting to POCO X3 NFC — waiting for it rather than opening a second socket.
21606:09-05 22:30:17.551 I/OPENHU  ( 8975): [61] NativeAaHandshakeManager.pokeDevice | NativeAA: Poke via HFP-AG to POCO X3 NFC (DC:B7:2E:5E:4E:59) failed: read failed, socket might closed or timeout, read ret: -1
21655:09-05 22:30:17.599 I/OPENHU  ( 8975): [61] 1.invokeSuspend | NativeAA: Attempting manual poke to POCO X3 NFC...
21669:09-05 22:30:17.610 I/OPENHU  ( 8975): [61] NativeAaHandshakeManager.pokeDevice | NativeAA: Calling socket.connect() for POCO X3 NFC via HFP-AG (0000111f-0000-1000-8000-00805f9b34fb)...
35682:09-05 22:30:32.997 I/OPENHU  ( 8975): [61] NativeAaHandshakeManager.pokeDevice | NativeAA: Poke via HFP-AG to POCO X3 NFC (DC:B7:2E:5E:4E:59) failed: read failed, socket might closed or timeout, read ret: -1
35692:09-05 22:30:33.004 I/OPENHU  ( 8975): [61] NativeAaHandshakeManager.pokeDevice | NativeAA: Calling socket.connect() for POCO X3 NFC via HSP-AG (00001112-0000-1000-8000-00805f9b34fb)...
49924:09-05 22:30:48.479 I/OPENHU  ( 8975): [61] NativeAaHandshakeManager.pokeDevice | NativeAA: Poke via HSP-AG to POCO X3 NFC (DC:B7:2E:5E:4E:59) failed: read failed, socket might closed or timeout, read ret: -1
49928:09-05 22:30:48.486 I/OPENHU  ( 8975): [61] 1.invokeSuspend | NativeAA: Manual poke to POCO X3 NFC finished.
51690:09-05 22:30:50.384 W/OPENHU  ( 8975): [2] AutomationEffectRunner.run | AutomationMarker: r6-fired
