### r6d decisive lines ###
850:09-05 22:31:10.565 I/OPENHU  ( 9734): [2] AapService.onCreate | AapService creating...
4071:09-05 22:20:31.248 I/OPENHU  ( 9734): [2] 1.onSuccess | WifiDirectManager: 5GHz createGroup SUCCESS!
6566:09-05 22:31:14.669 W/OPENHU  ( 9734): [2] AutomationEffectRunner.run | AutomationMarker: r6-armed
6891:09-05 22:31:15.040 I/OPENHU  ( 9734): [61] 1.invokeSuspend | NativeAA: Attempting active poke to device: POCO X3 NFC (DC:B7:2E:5E:4E:59)...
6910:09-05 22:31:15.055 I/OPENHU  ( 9734): [61] NativeAaHandshakeManager.pokeDevice | NativeAA: Calling socket.connect() for POCO X3 NFC via HFP-AG (0000111f-0000-1000-8000-00805f9b34fb)...
7041:09-05 22:31:15.171 I/OPENHU  ( 9734): [2] AutomationReceiver.onReceive | AutomationReceiver: com.andrerinas.openheadunit.ACTION_NATIVE_AA_POKE
7087:09-05 22:31:15.197 I/OPENHU  ( 9734): [60] NativeAaHandshakeManager.awaitPokeSlot | NativeAA: another poke is already connecting to POCO X3 NFC — waiting for it rather than opening a second socket.
21108:09-05 22:31:30.455 I/OPENHU  ( 9734): [61] NativeAaHandshakeManager.pokeDevice | NativeAA: Poke via HFP-AG to POCO X3 NFC (DC:B7:2E:5E:4E:59) failed: read failed, socket might closed or timeout, read ret: -1
21125:09-05 22:31:30.472 I/OPENHU  ( 9734): [61] 1.invokeSuspend | NativeAA: Attempting manual poke to POCO X3 NFC...
21128:09-05 22:31:30.478 I/OPENHU  ( 9734): [61] NativeAaHandshakeManager.pokeDevice | NativeAA: Calling socket.connect() for POCO X3 NFC via HFP-AG (0000111f-0000-1000-8000-00805f9b34fb)...
35143:09-05 22:31:45.851 I/OPENHU  ( 9734): [61] NativeAaHandshakeManager.pokeDevice | NativeAA: Poke via HFP-AG to POCO X3 NFC (DC:B7:2E:5E:4E:59) failed: read failed, socket might closed or timeout, read ret: -1
35157:09-05 22:31:45.857 I/OPENHU  ( 9734): [61] NativeAaHandshakeManager.pokeDevice | NativeAA: Calling socket.connect() for POCO X3 NFC via HSP-AG (00001112-0000-1000-8000-00805f9b34fb)...
49128:09-05 22:32:01.253 I/OPENHU  ( 9734): [61] NativeAaHandshakeManager.pokeDevice | NativeAA: Poke via HSP-AG to POCO X3 NFC (DC:B7:2E:5E:4E:59) failed: read failed, socket might closed or timeout, read ret: -1
49135:09-05 22:32:01.259 I/OPENHU  ( 9734): [61] 1.invokeSuspend | NativeAA: Manual poke to POCO X3 NFC finished.
50941:09-05 22:32:03.255 W/OPENHU  ( 9734): [2] AutomationEffectRunner.run | AutomationMarker: r6-fired
